personnelID,firstName,lastName,dateOfBirth,enlistmentDate,status,rankID,unitID
101,John,Hunt,1981-07-16,2012-11-21,Reserve,6,205
102,Lisa,Middleton,1997-01-23,2021-05-21,Retired,6,204
103,Renee,Spears,1986-03-28,2017-07-25,Reserve,8,203
104,Brett,Moses,1984-03-02,2022-01-08,Active,1,207
105,Rita,Mcdaniel,1991-01-10,2022-07-31,Retired,6,212
106,Michele,Underwood,1986-04-03,2025-02-23,Retired,7,214
107,Tonya,Bryan,1982-03-28,2015-06-15,Active,7,206
108,Eric,Miller,1998-06-29,2022-03-19,Reserve,1,217
109,Brittney,Richardson,1997-12-10,2012-07-29,Retired,1,208
110,Jessica,Young,2002-06-08,2021-07-22,Retired,4,217
111,Matthew,Smith,1986-06-18,2024-01-18,Active,2,205
112,Jessica,Reed,1986-04-10,2024-03-01,Active,10,210
113,Hannah,Wilson,2003-04-20,2016-04-04,Reserve,6,210
114,Richard,Richardson,1994-11-09,2021-02-24,Reserve,2,218
115,Courtney,Swanson,1996-10-15,2014-05-19,Active,5,206
116,Charles,Sharp,1984-07-07,2024-07-14,Reserve,10,211
117,Heather,Williams,1983-12-26,2017-12-30,Reserve,9,216
118,Amy,Lam,1980-03-16,2024-06-08,Active,2,217
119,Amy,Robinson,1991-03-10,2011-08-14,Retired,7,220
120,Thomas,Tran,1990-09-17,2016-06-28,Reserve,7,211
121,Mercedes,Smith,1993-05-19,2018-03-13,Active,7,211
122,Vanessa,King,1994-05-22,2022-11-03,Retired,3,201
123,Patrick,Johnson,1988-10-27,2017-03-27,Active,6,202
124,Christine,Ford,1980-06-23,2024-03-08,Retired,3,220
125,Elizabeth,Owen,2002-08-27,2020-01-07,Active,1,213
126,Kathleen,Cobb,1989-03-13,2022-05-11,Retired,3,217
127,Adrienne,Davis,1989-02-26,2016-12-16,Retired,10,208
128,John,Phillips,1999-01-27,2021-10-14,Retired,6,209
129,George,Johnson,1990-01-20,2015-08-29,Reserve,8,216
130,Lindsay,Nelson,1990-11-01,2020-08-29,Active,9,212
131,Michael,Davis,1994-10-07,2012-07-10,Active,7,216
132,Brandon,Williams,1983-05-19,2024-04-15,Retired,3,216
133,Cindy,Campos,1997-03-20,2024-09-16,Active,9,202
134,Raymond,Gutierrez,1983-02-13,2021-08-02,Active,5,211
135,Julie,Turner,1999-08-05,2019-06-03,Reserve,1,211
136,Brenda,Patterson,1994-01-05,2017-04-05,Retired,8,214
137,Douglas,Bell,1992-01-03,2022-07-06,Retired,9,215
138,Robert,Khan,1999-12-24,2011-03-29,Reserve,9,210
139,Patrick,Jacobson,2002-06-21,2012-01-18,Retired,4,209
140,Kimberly,Nelson,1994-02-13,2023-04-11,Retired,4,212
141,Caitlyn,Little,1981-01-20,2010-06-15,Active,10,219
142,Jessica,Brown,1997-10-26,2019-08-08,Retired,7,205
143,Michael,Hawkins,2005-05-04,2019-08-23,Retired,1,220
144,Alexis,Morales,1979-06-22,2022-10-12,Retired,1,206
145,Michele,Herrera,2000-01-05,2016-11-29,Retired,8,209
146,Angela,Butler,1983-11-03,2021-12-22,Active,10,201
147,Geoffrey,Mora,1998-03-18,2025-02-03,Retired,10,219
148,Justin,Jackson,1981-10-18,2022-04-19,Active,9,204
149,Sierra,Murphy,1989-01-27,2023-05-13,Reserve,1,206
150,Joseph,Trujillo,1998-12-12,2023-03-16,Retired,9,212
151,Lisa,Rodriguez,2003-11-21,2021-03-23,Active,9,204
152,Krystal,Huang,2002-12-02,2017-09-10,Retired,9,201
153,Richard,Collins,1994-05-14,2022-07-02,Retired,2,205
154,Tina,Holmes,2004-10-22,2018-05-23,Reserve,4,211
155,Todd,Montes,1988-09-18,2019-03-26,Retired,5,209
156,Karen,Decker,1987-02-13,2012-02-17,Retired,8,204
157,Ryan,Mata,1994-06-22,2024-12-22,Retired,6,217
158,Elizabeth,Mclaughlin,2001-10-02,2014-10-18,Reserve,9,207
159,Christopher,Cline,2004-11-18,2019-06-13,Active,10,203
160,Randy,Chen,2000-04-23,2019-08-20,Retired,4,204
161,Ashley,Burgess,1983-01-31,2014-10-18,Reserve,1,206
162,Anna,Griffin,1992-07-06,2017-07-28,Active,4,209
163,Chelsea,Reyes,1998-05-19,2024-04-13,Reserve,7,202
164,Scott,Sanchez,1995-04-05,2017-04-23,Retired,3,215
165,Andres,Hammond,1984-03-28,2019-09-05,Retired,10,203
166,Emma,Sullivan,1991-12-07,2021-09-18,Retired,2,209
167,Thomas,Montoya,1989-03-24,2021-08-01,Reserve,6,219
168,Shane,Lee,1998-04-10,2010-12-09,Reserve,2,219
169,Summer,Moore,1983-10-22,2019-07-18,Active,10,206
170,Nicholas,Barr,1980-08-30,2021-04-01,Retired,9,204
171,Sally,Mcdonald,1981-11-13,2010-12-09,Reserve,8,209
172,Connie,Cain,1982-10-20,2015-05-21,Active,5,214
173,Michelle,Sims,1984-05-22,2025-03-30,Active,10,206
174,Chad,Carpenter,1984-12-30,2020-11-29,Active,3,201
175,Mark,Flynn,1989-09-30,2023-09-23,Reserve,4,207
176,Richard,Kent,2001-08-03,2012-05-02,Active,1,205
177,Christopher,Weaver,2000-09-13,2013-06-05,Retired,2,201
178,Rebecca,Williams,1986-01-17,2014-01-09,Reserve,2,212
179,Brenda,Snow,2003-03-20,2012-11-07,Active,1,216
180,Monica,Ross,1991-12-13,2018-07-31,Retired,8,205
181,Michael,Huang,1987-08-14,2016-03-03,Retired,8,217
182,Jack,Martin,1998-10-25,2017-01-19,Retired,4,205
183,Amanda,Bryan,1992-07-29,2023-10-10,Retired,8,219
184,Sean,Nguyen,1991-08-07,2013-06-30,Retired,2,210
185,David,Chan,1988-05-04,2012-02-16,Reserve,9,220
186,Suzanne,Merritt,1993-03-10,2010-09-20,Active,1,214
187,Steven,Wright,1983-09-13,2018-07-07,Retired,8,220
188,Sara,Herrera,1987-07-09,2020-02-10,Retired,3,213
189,Victor,Jones,1990-03-25,2022-01-11,Retired,10,215
190,James,Carr,1998-12-31,2017-06-03,Active,4,210
191,Cindy,Taylor,2000-10-20,2016-10-07,Active,2,219
192,Justin,Young,2003-02-12,2023-10-28,Retired,1,208
193,Gabriel,Williams,1990-03-18,2020-05-29,Reserve,5,205
194,Toni,Potter,1980-01-10,2014-03-20,Retired,2,210
195,Elizabeth,Roberts,1994-03-20,2015-01-15,Retired,7,212
196,Jeffrey,Hudson,2004-12-08,2016-01-24,Reserve,8,213
197,Cindy,Robertson,2001-09-21,2020-06-03,Retired,8,219
198,Larry,Stevenson,1985-09-14,2022-01-24,Active,8,206
199,Lisa,Bryant,1992-09-30,2016-01-19,Retired,4,220
200,Brenda,Smith,1980-06-09,2021-08-27,Active,2,215
201,Amber,White,1987-10-03,2017-11-17,Reserve,9,203
202,Dennis,Spence,1990-01-08,2020-09-17,Active,2,217
203,Anthony,Ashley,1993-09-11,2022-04-12,Retired,10,212
204,Robert,Caldwell,1987-06-21,2013-07-30,Retired,2,205
205,Dana,Wilson,2002-04-29,2013-08-11,Active,8,206
206,Aaron,Blair,1980-02-25,2010-10-15,Retired,3,208
207,Matthew,Rivera,1995-05-24,2016-03-08,Retired,9,203
208,Cynthia,Martinez,1998-03-21,2010-08-26,Retired,10,215
209,Kenneth,Edwards,1988-10-21,2013-03-16,Active,1,218
210,Sonia,Ritter,1989-06-05,2011-06-26,Retired,6,203
211,Anita,Murphy,1999-12-18,2024-04-13,Reserve,2,217
212,Brittney,Benson,1980-11-07,2021-07-13,Retired,3,210
213,Natasha,Buck,2000-01-28,2021-09-14,Reserve,6,204
214,Bradley,Conrad,1995-03-22,2020-10-31,Active,1,201
215,Alexander,Montgomery,1981-05-13,2020-09-20,Retired,3,214
216,Norman,Hill,1981-08-21,2017-12-19,Active,5,218
217,Mikayla,Scott,2004-07-13,2014-07-16,Active,5,206
218,Barbara,Phillips,2001-01-07,2014-05-28,Active,3,211
219,Dylan,Baker,1997-10-22,2025-01-20,Retired,3,208
220,Sabrina,David,2003-06-21,2011-12-18,Retired,3,201
221,Joshua,Wilson,1984-10-18,2014-09-14,Active,10,215
222,Ashley,Howell,2004-09-10,2012-08-07,Reserve,6,210
223,Mitchell,Hayden,2002-08-24,2023-02-19,Active,10,211
224,Timothy,Lopez,1989-07-06,2016-07-03,Reserve,9,204
225,Nathan,Norris,1985-04-29,2021-08-29,Retired,3,217
226,Benjamin,Butler,1992-05-13,2017-07-19,Active,1,201
227,Heather,Henson,1999-06-10,2012-08-18,Retired,7,215
228,Eric,Chavez,2005-02-16,2018-05-07,Retired,2,205
229,Sarah,Willis,1981-01-30,2010-07-15,Reserve,1,207
230,Peter,Rivera,1986-06-29,2024-08-17,Active,4,202
231,Anthony,Ponce,2004-06-15,2014-01-02,Retired,10,207
232,Julia,May,1983-04-15,2019-04-17,Active,7,207
233,Christina,Davis,1994-12-02,2011-01-13,Retired,8,215
234,Tracey,Schmidt,1989-02-22,2023-02-27,Reserve,3,204
235,Jasmine,Webb,1996-06-03,2010-08-14,Retired,7,215
236,Adrian,Tapia,1991-06-02,2010-09-05,Reserve,4,208
237,Timothy,White,1983-03-31,2012-04-27,Active,8,203
238,Natasha,Delgado,1989-06-01,2014-08-07,Active,2,205
239,Charles,Murray,1991-05-09,2020-03-22,Retired,1,211
240,Rita,Larson,1984-01-31,2010-12-12,Retired,7,201
241,Kimberly,Graham,1987-01-31,2011-03-28,Active,1,220
242,Daniel,Rowland,1997-10-10,2020-04-14,Retired,3,212
243,Harold,Armstrong,1986-03-18,2019-03-11,Active,3,210
244,Ronald,Bennett,1984-09-15,2022-11-25,Retired,4,220
245,Jacob,Wagner,1999-02-07,2021-06-26,Active,10,213
246,Crystal,Watkins,1982-06-13,2023-11-10,Active,9,218
247,Amber,Williams,1995-08-26,2011-05-04,Reserve,7,208
248,Mary,Lopez,1989-08-26,2023-02-09,Retired,9,219
249,Austin,Sanchez,1991-01-28,2023-09-22,Retired,10,212
250,Kayla,Perkins,2002-06-22,2016-05-10,Reserve,1,202
251,Michael,Cruz,2001-07-04,2014-08-11,Retired,2,220
252,Stephanie,Wilson,1986-01-07,2019-07-03,Active,3,218
253,James,Johnson,1980-02-01,2014-05-17,Retired,8,202
254,Deborah,Wade,2000-05-25,2010-05-30,Active,7,211
255,Elijah,Taylor,1986-11-04,2021-04-20,Active,1,215
256,Thomas,Rodriguez,1988-02-18,2022-03-03,Active,7,214
257,Michael,Barnes,1993-03-13,2013-03-16,Active,1,215
258,James,Waters,1998-09-07,2022-12-25,Active,10,202
259,Travis,Craig,2005-05-08,2011-03-13,Retired,8,209
260,Patricia,Velasquez,1988-09-25,2022-01-16,Retired,2,216
261,Brooke,Dominguez,1990-01-12,2017-10-19,Retired,4,201
262,Megan,Ellis,1986-04-27,2023-08-23,Active,8,209
263,Lynn,Green,2004-10-20,2020-10-11,Active,5,215
264,Michelle,Mejia,1993-11-30,2011-08-21,Retired,2,202
265,Ann,Camacho,1986-09-13,2015-03-20,Retired,1,213
266,Seth,Myers,1984-08-11,2021-07-20,Retired,9,205
267,David,Bryant,2004-11-26,2019-08-04,Retired,9,201
268,Lauren,Harris,1994-08-23,2022-01-24,Retired,7,211
269,Joann,Gonzalez,1996-02-12,2020-03-03,Reserve,5,217
270,Brendan,Sanchez,1999-04-19,2022-03-27,Active,4,215
271,Matthew,Whitney,1987-02-23,2024-06-02,Reserve,6,213
272,Alexander,Kennedy,1992-06-17,2022-07-09,Active,7,204
273,Michele,Rush,2002-02-25,2024-02-04,Reserve,10,202
274,Joseph,Nelson,2004-02-19,2014-12-17,Reserve,6,205
275,Jerry,Gray,2001-08-02,2022-06-03,Active,10,216
276,Jeremy,Brock,1992-06-13,2018-12-03,Retired,3,204
277,Jacob,Wilcox,2005-03-02,2016-09-18,Reserve,1,215
278,Jamie,Gutierrez,1987-05-13,2013-12-06,Active,5,216
279,Gabrielle,Wong,1983-08-05,2012-11-11,Reserve,1,218
280,Terry,Myers,1996-05-11,2022-08-12,Retired,9,217
281,Eddie,West,2001-07-18,2016-06-03,Active,10,220
282,Michael,Miller,2003-07-11,2013-01-18,Retired,9,206
